stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
KENPARN,3433,KENNY RD & PARKLEIGH RD,,40.043286,-83.050217
KENWINN,3435,KENNY RD & WINDHAM RD,,40.046919,-83.049952
KENFOLN,3437,KENNY RD & FOLKESTONE RD,,40.050026,-83.04971
KENMERN,3439,KENNY RD & MERRIMAR CIR S,,40.054178,-83.049463
KENWEYN,3441,KENNY RD & WEYBRIDGE RD,,40.056475,-83.049345
GODLANSE,3454,GODOWN RD & LANGLAND DR,,40.061304,-83.053138
GODCHEE,3455,GODOWN RD & CHEVIOT DR,,40.060213,-83.051327
KENWEYS,3472,KENNY RD & WEYBRIDGE RD,,40.05667,-83.04947
KENMERS,3474,KENNY RD & MERRIMAR CIR N,,40.054042,-83.049669
KENFOLS,3476,KENNY RD & FOLKESTONE RD,,40.050478,-83.049884
KENWINS,3478,KENNY RD & WINDHAM RD,,40.046527,-83.050149
